a,b
0,54.94567998092059
1,12.26875
2,169.98066017405125
3,123.28240199101927
4,109.81693378542003
5,161.14962625761427
6,86.34295505185807
7,201.35601282605657
8,176.6381967023269
9,90.72704327137549
10,147.4744167746312
11,172.8912356429601
12,41.85234594301245
13,195.2661370211456
14,4.379755957367587e-16
15,207.53824419479938
16,180.27900759698946
17,22.772513916619864
18,165.0266776857608
19,209.51845287907102
20,93.46081363275852
21,87.69383400115991
22,81.22968734571393
23,110.84043940513527
24,117.58460301314915
25,76.61125203926211
26,148.47964777322707
27,17.77617162883447
28,218.09193362430005
29,41.69199243659785
30,109.29715396823144
31,96.20484186786648
32,152.34681921727963
33,149.3937816802381
34,139.50240503998182
35,103.27416163180102
36,36.56560305208298
37,103.46199780931089
38,117.85407845507066
39,134.32042515077657
40,245.22788306266227
41,159.24864551345638
42,104.98640400713207
43,130.261676861831
44,195.09275759438435
45,130.23965713500408
46,60.965564050535974
47,107.84423858388024
48,76.67807486829355
49,95.87776579631473
50,87.63311031707445
51,87.4728726063115
52,130.35103225087403
53,109.85791431119361
54,75.72830770874089
55,60.498443035069386
56,63.93502684112974
57,156.5417596872039
58,65.29879873591923
59,116.5214489327512
60,130.43223997418292
61,226.5400511523538
62,84.62067336802994
63,147.46253337010913
64,143.06602327706074
65,167.959675087587
66,118.74875498446768
67,133.02862344016003
68,138.812637073637
69,178.13772044630403
70,94.83332587204997
71,149.3858645500532
72,147.61540271206954
73,177.2149361002057
74,214.6756342847403
75,119.23614457126374
76,110.9256655228074
77,46.855329875079875
78,96.6322992146866
79,218.35351742368002
80,125.50207620346329
81,98.68750690027859
82,106.38112647942656
83,277.18933580528414
84,160.74253626702395
85,86.3398579981317
86,176.53038276870905
87,85.01339258859691
88,149.27097636995072
89,51.56357482293796
90,224.2457895431053
91,157.31903433249389
92,285.8285317874352
93,120.01351702385028
94,112.26455080332178
95,6.358389842764979e-15
96,223.646324080999
97,109.4794840947414
98,78.1675913215725
99,75.83131178061359
100,105.93464374989323
101,6.718858203263178
102,159.89807117987183
103,197.2698752555452
104,141.38697326805772
105,272.8334569384774
106,184.88390368220516
107,78.85274287709777
108,91.86787121089446
109,142.1579244314033
110,173.66455704519115
111,111.64552042378354
112,119.96108591029221
113,118.35693314391361
114,197.08915590634362
